trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,fixation.stopped,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,tilt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,36.239684199987096,37.24641759999213,37.24641759999213,up,0,3.089837199993781,3,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
1,0,1,0,40.357736499994644,41.35686449999048,41.35686449999048,up,0,3.0564596000040183,-5,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
2,0,2,0,44.43781009998929,45.4371858999948,45.4371858999948,up,1,0.8874903000105405,0,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
3,0,3,0,46.352676999988034,47.35204889999295,47.35204889999295,up,1,0.7866111000039382,0,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
4,0,4,0,48.16807759999938,49.16721999998845,49.16721999998845,down,1,1.2509479000000283,1,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
5,0,5,0,50.44933649999439,51.448732899996685,51.448732899996685,up,1,1.1790638999955263,0,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
6,0,6,0,52.64746480000031,53.64678119999007,53.64678119999007,down,0,0.7468163000012282,0,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
7,0,7,0,54.41276089999883,55.41222819998802,55.41222819998802,down,1,0.7882510999916121,-5,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
8,0,8,0,56.22796129999915,57.22746079998615,57.22746079998615,up,1,0.7994068999978481,0,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
9,0,9,0,58.043233699994744,59.042448799998965,59.042448799998965,down,0,0.48341420000360813,0,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
10,0,10,0,59.55867399999988,60.55795189998753,60.55795189998753,down,1,0.4572708000050625,3,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
11,0,11,0,61.04069549999258,62.039792999989004,62.039792999989004,up,1,0.762320699999691,0,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
12,0,12,0,62.82271629999741,63.822016999998596,63.822016999998596,down,1,0.4760448000015458,-4,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
13,0,13,0,64.32147209999675,65.32088299999305,65.32088299999305,up,1,0.584874399995897,0,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
