key_resp.keys,key_resp.corr,tilt,,,key_resp.keys,key_resp.corr,tilt,,hit,miss,false alarm,correct rejection
up,0,3,,,down,1,-2,,,,,1
up,0,-5,,,down,1,-5,,,,,1
up,1,0,,,up,1,0,,1,,,
up,1,0,,,up,0,3,,,1,,
down,1,1,,,up,0,2,,,1,,
up,1,0,,,up,1,0,,1,,,
down,0,0,,,down,0,0,,,1,,
down,1,-5,,,up,1,0,,1,,,
up,1,0,,,down,1,4,,1,,,
down,0,0,,,up,1,0,,1,,,
down,1,3,,,,,,,,,,
up,1,0,,,sum,,,,5,3,0,2
down,1,-4,,,,,,,,,,
up,1,0,,,,,,,,,,
up,1,0,,,,,,,,,,
down,0,0,,,,,,,,,,
up,0,3,,,,respond YES,respond NO,,prop hit = hit/hit+miss,,0.625,
down,1,2,,,signal present,hit,miss,,,,,
up,1,0,,,signal absent,false alarm,correct rejection,,prop fa = fa/fa+cr,,0,
up,0,-3,,,,,,,,,,
up,1,0,,,,,,,dprime = z(prop hit) - z(prop fa),,0.318639364,
down,0,0,,,,,,,,,,
up,0,2,,,,,,,c = -((z(prop hit) + z(prop fa))/2),,-0.159319682,
down,1,3,,,,,,,,,,
up,1,0,,,,,,,,,,
up,0,4,,,,,,,,,,
up,0,-2,,,,,,,,,,
down,0,0,,,,,,,,,,
up,1,0,,,,,,,,,,
up,1,0,,,,,,,,,,
down,1,3,,,,,,,,,,
up,0,4,,,,,,,,,,
up,1,0,,,,,,,,,,
up,0,-2,,,,,,,,,,
down,0,0,,,,,,,,,,
down,1,-4,,,,,,,,,,
down,1,2,,,,,,,,,,
down,1,3,,,,,,,,,,
down,0,0,,,,,,,,,,
up,1,0,,,,,,,,,,
up,0,2,,,,,,,,,,
up,1,0,,,,,,,,,,
down,1,4,,,,,,,,,,
up,1,0,,,,,,,,,,
down,1,2,,,,,,,,,,
up,1,0,,,,,,,,,,
up,1,0,,,,,,,,,,
up,1,0,,,,,,,,,,
up,1,0,,,,,,,,,,
down,1,3,,,,,,,,,,
up,1,0,,,,,,,,,,
down,1,1,,,,,,,,,,
up,0,-3,,,,,,,,,,
up,1,0,,,,,,,,,,
up,1,0,,,,,,,,,,
up,0,-2,,,,,,,,,,
up,0,1,,,,,,,,,,
down,0,0,,,,,,,,,,
down,0,0,,,,,,,,,,
up,0,4,,,,,,,,,,
up,1,0,,,,,,,,,,
down,1,-3,,,,,,,,,,
up,1,0,,,,,,,,,,
up,1,0,,,,,,,,,,
up,1,0,,,,,,,,,,
up,0,-2,,,,,,,,,,
down,0,0,,,,,,,,,,
up,1,0,,,,,,,,,,
down,1,2,,,,,,,,,,
down,1,3,,,,,,,,,,
up,1,0,,,,,,,,,,
up,1,0,,,,,,,,,,
down,1,3,,,,,,,,,,
up,0,-3,,,,,,,,,,
up,1,0,,,,,,,,,,
up,0,-2,,,,,,,,,,
up,1,0,,,,,,,,,,
down,1,3,,,,,,,,,,
down,1,-5,,,,,,,,,,
up,1,0,,,,,,,,,,
down,1,3,,,,,,,,,,
up,1,0,,,,,,,,,,
up,0,1,,,,,,,,,,
up,1,0,,,,,,,,,,
down,1,-4,,,,,,,,,,
down,1,-5,,,,,,,,,,
up,1,0,,,,,,,,,,
down,1,-3,,,,,,,,,,
down,1,3,,,,,,,,,,
up,1,0,,,,,,,,,,
down,1,-2,,,,,,,,,,
down,1,-5,,,,,,,,,,
up,1,0,,,,,,,,,,
up,0,3,,,,,,,,,,
up,0,2,,,,,,,,,,
up,1,0,,,,,,,,,,
down,0,0,,,,,,,,,,
up,1,0,,,,,,,,,,
down,1,4,,,,,,,,,,
up,1,0,,,,,,,,,,
